text,Sentiment,Label,tweet_ids,Count,0,1,2
Winnable sana ang Leni-Isko tandem sa 2022 election sayang!,Negative,Hate,['1440304007927373841'],,,,
"Same tito: dapat dae na dayaon ni Leni ang eleksyon para manggana na si Marcos
Me: ((I had no energy to argue with him so I left))
I overherad my tita saying: yan kuya ang greatest frustration ni mommy, na hanggang ngunyan blinded pa nanggad kamo 

HAHAHAHA SHUTA we're so fed up",Negative,Hate,['1438317631434539010'],,,,
"Isipin mo, ang pagpipilian mo sa eleksyon...
Bong Go, Lacson tas Pacquiao .... SHUTA ANO TO? MULTIPLE CHOICE PERO WALANG TAMANG SAGOT?!? 🤦‍♂️ https://t.co/TiRphqMAhX",Negative,Hate,['1439563752576196620'],,,,
From Bert to Maja to Angge ang saya naman na todo encourage sila to register and vote! Kaya habol na mga beh at patuloy pa rin tayo manawagan ng #ExtendTheRegistration @COMELEC #Halalan2022,Positive,Non-hate,['1442389951732092933'],,,,
"AKO AY GAGAPANG, BABANGON AT GAGANTI SA INYONG MGA SALOT NG LIPUNAN! 🧛

ILALABAS KO NA ANG AKING MGA MANIKA, KARAYOM AT ITIM NA KANDILA! 🖤

SA ELEKSYON AY TATAPUSIN NAMIN ANG SUMPA! 
AT SIGURADO KAYO NAMAN ANG LULUHA! 🧛

NASA AMING MGA TUNAY NA PILIPINO ANG HULING HALAKHAK! 🇵🇭",Positive,Non-hate,['1438635447324844033'],,,,
Si Manila Mayor Isko Moreno Domagoso ang magiging standard bearer ng partidong Aksyon Demokratiko sa Halalan 2022. Si Dr. Willie Ong naman ang magiging running mate ni Mayor Isko. https://t.co/81bwnQvUxu,Neutral,Non-hate,['1440670969941663746'],,,,
@ANCALERTS Sa mga nagsasabi na ROBREDO-TRILLANES ang dapat maging tandem.  Labas po sa twitter. Hindi makakatulong si Trillanes kay Leni para makabuo ng malawak na coalition.  Imbes na ma-expand ang base.  Ma-limit lamang nito ang base na malabong manalo sa general election.,Negative,Hate,['1440222023033057280'],,,,
"@ABSCBNNews Tangina kung tatakbo, tatakbo. Akala ko ba VP ka at nanalo ka talaga last election? Bakit parang takot ka ngayon? """,Negative,Hate,['1441400119694295042'],,,,
"@hiram_ryu @PinoyAkoBlog Hala... Palibhasa magnanakaw sya, kaya ang magnanakaw takot sa kapwa nya magnanakaw. Kawawang Pilipinas, kapag may nanalo pa sa kaalyado nya ngayong darating na eleksyon, hindi na sya ang may problema mga tao na or may matinding dayaan na talaga.",Negative,Hate,['1438524255516311562'],,,,
"@iamtix95 Tingin ko hindi yung dami ng boboto kay VP Leni ang magiging problema natin, kundi yung magiging dayaan sa eleksyon. Remember, si Dennis Uy - negosyanteng galamay ni Duterte ang may hawak ng kontrata ng mga machine sa COMELEC",Negative,Hate,['1440927089973104649'],,,,
@inquirerdotnet @GabrielLaluINQ ang takot po yung panic mode na sa darating na eleksyon,Neutral,Non-hate,['1441604470362697732'],,,,
"(1/2)

Nagkaroon ng meeting ang Partido Reporma at Partido ng Demokratikong Pilipino-Laban’s (PDP-Laban) faction ni Sen. Manny Pacquiao upang pag-usapan ang posibleng pagsasanib-puwersa ng dalawang partido para sa 2022 election. https://t.co/fM9syIQTFW",Neutral,Non-hate,['1438740758715011073'],,,,
@cnnphilippines TATANGA NIYO NAMAN BALIK GCQ KAHIT SUPER DAMING CASES?KAHIT GRADE 1 ALAM NA PAG GINAWANG GCQ MAS DADAMI LALO CASES. TANGA BA KAYO OR SOBRANG TANGA? MNL GCQ PERO DUN MARAMING CASES? WE WILL NEVER BOUNCE BACK BECAUSE OF YOUR DUMB STRATEGIES. ELECTION OVER FILIPINOS HEALTH. YUCK. 🤡,Negative,Hate,['1434776124471402497'],,,,
"@LakasNgTimog surveys - lamang sa surveys, talo sa election😂.
youtube - sa dami ba naman ng trolls ni bbm. 
utak - taena ni hindi nga college graduate yan si bbm.
plataporma - weh? magnanakaw lang yan. 
2016 election - nag-recount na. talo si bongbong.",Negative,Hate,['1439341058869972997'],,,,
Pinaglalaban tayo ni VP Leni kaya ipaglaban din natin sya sa Halalan 2022!! Tara na samahan sya mag martsa papuntang malacañang! #LabanLeni2022,Positive,Non-hate,['1440575059463065604'],,,,
"@sejoalzir @SaintDenise4 @1Sambayan @barrygutierrez3 first wife ni pulong ay muslim,pero nanay niya ay jewish, ang gulo ng pamilya ah.
galit din siya sa nanay niya?
parang si duts na dilawan ang ina pero siya ay pumanig sa marcos in secret nung eleksyon ng 2016.
walang prinsipyo, gamitan lang ng mga grupo.",Negative,Hate,['1442340564993658885'],,,,
"#HATOLNGBAYAN2022 : Nanawagan si dating senador Antonio Trillanes IV kay Vice President Leni Robredo na magdesisyon na sa plano nito para sa Halalan 2022.
https://t.co/znLCs7wOWm",Neutral,Non-hate,['1441033267625431042'],,,,
HINDI AKO PUMILA SA COMELEC PARA PAGPILIAN SI ISKO AT SI PACQUIAO KAYA LENI PLS LANG,Negative,Hate,['1440570506583810052'],,,,
Making my body strong kasi Pacquiao might make my bayot ass his punching bag kung sakaling manalo siyang presidente sa eleksyon,Negative,Hate,['1439759479277449219'],,,,
"Bakit kapag nagtetrending si VP Leni, asahan mong may magsasabi nang hindi naman sa socmed madedetermine kung sinong mananalo sa eleksyon?

Like.. hello? Palagay niyo di namin alam yan? Nagpapakita lang ng support parang kasalanan na sainyo. 😅",Negative,Hate,['1441359407690907655'],,,,
@isabelmerana E anu ba nginangawa mo kung hindi ka naman pala naniniwala mataas?takot?malapit na mag election iboto nyo na lang ang gusto nyo para masatisfy kaya.mag 6yrs na buti hindi pa kayo inaatake sa sama ng loob nyo.,Negative,Hate,['1440498770492284936'],,,,
"Jusko ung tawa ko. 🤣🤣🤣 Pero mga Direk, kaya ba today ung letter? 😂😂😂 Excited na ko sa merch! Sana sooner than later. Yes, demanding ako. 🤣✌️ Lab you mga direk. Matagal na rin akong registered voter at walang mintis sa pagboto tuwing eleksyon. #AngWalangKwentangPodcast https://t.co/Z2WpkhhlUA",Positive,Non-hate,['1441249775228125197'],,,,
"@bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022 https://t.co/HDjxFZ1eLH",Positive,Non-hate,['1439606964422529024'],,,,
@boyantingasngas Gawain ni tito sen yan tuwing election yan ang secret magic nya eversince bigla nagiging host ng EAT BULAGA everyday present 😏,Negative,Hate,['1438697447333646336'],,,,
"Kawawa naman si Madumb Leni. Kailangan nyang ibenta sarili nya para mapili ng opposition. 

Kahit opposition man yan sila eh may idea nadin sila who has better chances to win the election. Wag ka na mangarap Leni. 

Diokno nga eh ayaw na umanib sa inyo eh.",Negative,Hate,['1438997946813464576'],,,,
pag nanalo sa susunod na halalan si leni robredo magiging pangalawang beses na niya sa pagiging mabuting pangulo,Positive,Non-hate,['1440903110868693000'],,,,
"Poe, first choice ni Isko bilang running mate sa Halalan 2022
https://t.co/ic2kcAJsQy https://t.co/BNAe10I77t",Neutral,Non-hate,['1440536143645143041'],,,,
"not surprised kay isko PERO HAUHAUHAUA PUTA WILLIE ONG??? AMP AHAHAHAHAHAHAHAH HAHAHAHAHAHAHAHAAHAHAHAH 

DAWHO BA ITO MALIBAN SA ANG BABA NAMAN NIYA LAST ELECTION",Negative,Hate,['1440274700089790471'],,,,
"#RondaAtleta #SportsAndPolitics | Matapos mabigo sa laban kontra Yordenis Ugas nitong Agosto, susubukan ni 8-division world champion at Senator Manny Pacquiao ang kanyang malaking hamon bilang kandidato sa pagkapangulo ng bansa sa eleksyon sa 2022.

https://t.co/Ydo7BHpiiH https://t.co/nWtOWxOEEc",Neutral,Non-hate,['1439522270184030214'],,,,
@LakasNgTimog Naku lagot na...Kumampi na si Ong sa mga NPA....Alam na...Inidoro ka kasama si Ka Isko sa Eleksyon 2022...🤣😂,Negative,Hate,['1440275754487476224'],,,,
Imagine kung tatakbo si vp leni sa presidency and matatalo niya ulit si bbm next election imagine the collapse 🤭 https://t.co/nG038qgqx5,Positive,Non-hate,['1438789768704188424'],,,,
@nonariztocrat Last presidential kemerut election si bbm ata dala diba? Jusko sana naman this time mag go na kayo kay leni🥺,Positive,Non-hate,['1440663212911849483'],,,,
"Expect na natin na uulan ng pera sa election. 

Sa amin ang mga kabataan may mga slogan na.

""Tanggapin ang pera, iboto ang konsensiya""

Reason nila kung di daw nila tatanggapin, ibibigay din naman daw yun sa iba.  Tatanggapin nila pera ng mga DDS local candidate pero Leni sila.",Neutral,Non-hate,['1437219945817935873'],,,,
Kapag ba BBM binoto mo sa eleksyon Marcos Apologist na? Hahahaha,Positive,Non-hate,['1440874779649581059'],,,,
@marckirstie1 Nsa tao talaga ang problema walang takot sa covid dito sa min ngayon may pabirthday syempre may inuman/gathering khit anong bawal sa mga yn wala silang https://t.co/qzhrXiKeMy umaga dami nakakalat n mga bata sa kalsada.yung mga oposisyon sinasamantala nila yn lapit n eleksyon,Negative,Hate,['1437027237065158657'],,,,
"@SaintDenise4 @agot_isidro @lenirobredo Hindi ko iboboto si Leni dahil nanahimik siya ng tatlong taon. Kung talagang sa tingin niya ay may katiwalian, dapat lumaban na siya noon pa man (kung talagang may paninindigan). Ano ang pag-iingay niya ngayon? Para sa paparating na eleksyon? Hindi gano’ng lider ang deserve natin",Negative,Hate,['1440572952919961604'],,,,
@rapplerdotcom Takot na sya sa election?,Neutral,Non-hate,['1434233134086692864'],,,,
Hahaha nyetang to! Tawang tawa ko hahaha ayan na mga kapinas ayan na mga slogan sa susunod na eleksyon hahah https://t.co/8Rx78UYuti,Positive,Non-hate,['1442430116462739457'],,,,
"hahahahaahahahha umiiyak ako raynao kasi si mayora sinuhulan na ako para siya iboto ko sa eleksyon (chour) 🥺🥺🥺🥺 kenma haver na pi aq huhuhuhhu iyak mga pipty

tnx @notiwaoi sa pag-sponsor huhuhu nde na kita ib-bully 🥺🥺🥺🥺🥺🥺

p.s. hinihintay ko pa rin yung hugasin niyo",Positive,Non-hate,['1442834781973012485'],,,,
"@oslecjunior Obviously di sya nanonood ng NatGeo at Discovery Channel, yan nagagawa ng eleksyon, nag iiba bigla stand nila 😏",Negative,Hate,['1440254496139927558'],,,,
@sorbetero Tanga ka Isko. Panung pinagmana? Kaya nga may election di ba? Jusko! Nagmamagaling ampots!,Negative,Hate,['1439304792812277760'],,,,
"Pakiusap po. Marcos, Moreno, at Pacquiao ba ga naman choices. Baka all of the above mapili ko sa halalan sige ka HAHA https://t.co/torjituili",Negative,Hate,['1441358169502932998'],,,,
"Hello @1Sambayan never naging oposisyon si Isko at Pacquiao. Ngayon lang yan bumabaliktad dahil eleksyon na. But for 5 yrs, they have been enablers and supporters of this administration. Kailangan niyo pa talaga isipin kung sino ipambabato niyo? 🤦‍♂️ #LetLeniLead",Negative,Hate,['1441262484648697858'],,,,
skl binabantayan ko yung color map nung election 2016 tas sabi ko yes Leni sa pampanga then someone pointed out tarlac pala tinitignan ko 😭 dumb af https://t.co/5you2iiDuM,Negative,Hate,['1437024652283432962'],,,,
@ABSCBNNews Nakakaloka yung move ni isko pero mygas mas nakakaloka kay willie ong .... di nga lumaban yung votes niya nung huling election tas he wish to win a very hard to win position hahahah di pa ata nagmamayor or barangay captain yan eh haha,Negative,Hate,['1440290645390725127'],,,,
Hay naku!! Leni... Paulit ulit lang mga salita mo!  Umay na umay na talaga!   TUMAKBO ka na para malaman mo kung paano ka ilalampaso  sa halalan. nakakaBOBA ka talaga! 😝😝🙄🙄😛 https://t.co/aun4VPscLe,Negative,Hate,['1439594357967896583'],,,,
Maiiyak ata ako pag di tumakbo si Leni. Lalangoy na ako sa Pacific Ocean after election.,Negative,Hate,['1440523396282863617'],,,,
"@alexisbromero @helenmflores Roque on Sen. Pacquiao's decision to run for president: Wala po, karapatan niyang tumakbo sa eleksyon. Di ko lang alam ano desisyon ng Comelec kung sino magdadala ng pangalan ng PDP-Laban. | @alexisbromero 

LIVE: https://t.co/2pOcI4FKd0",Neutral,Non-hate,['1439817086327394304'],,,,
@MannyPacquiao @_katrinadomingo Quiboloy's camp says P100-M libel case part of Pacquiao's 2022 election propaganda https://t.co/3mSgifpOMG,Neutral,Non-hate,['1437726568596578306'],,,,
"Ang claim ng mga Marcos apologists, mayaman daw ang mga Marcos at di kailangang magnakaw... So nasaan sila sa gitna ng pandemya? If they're really for public service, hindi lang ngayong malapit na ang eleksyon nag-iingay, especially BBM.",Negative,Hate,['1439036407893282818'],,,,
"@LoVe_MeOw_24 @bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022",Positive,Non-hate,['1439607084991926272'],,,,
@MannyPacquiao sigurado akong  dito ka mananalo kay BBM sa patalbugan ng kaso ng cyber libel dahil hindi pa naumpisahan ang eleksyon 2022 nag-umpisa ka na kay Quiboloy. Para kang batang paslit na nagtatampisaw ng iyak dahil sa panunukso ng mga kalaro 😂 PATHETIC! https://t.co/9jyilKDWaP,Negative,Hate,['1439106933890367488'],,,,
@iammarlonramos galit na galit si bakla sana atakihin..wag ito iboto sa susunod na election,Negative,Hate,['1436203648149712900'],,,,
"@kulotsalot3000 Dabest part, kagaganyan nila mukhang masasideline pa Leni nila sa 2022 election lol. Na kagagawan nila haha

Ala nga namang ibintang na naman nila sa 16 million yan",Negative,Hate,['1440340352875991050'],,,,
"@rryyyaaaannnn Mga damuho din ano, alam na this hahahaha galit daw sa corrupt no, pang election pala yung bayad",Negative,Hate,['1437301685940981764'],,,,
Nakakalungkot isipin na si Papa naniniwala pa rin na dinaya si BBM ni Leni. I explained to him that the election protests of BBM were junked already by PET (Presidential Electoral Tribunal),Negative,Hate,['1439574958926176263'],,,,
"@ryan_bernard_ Si BBM tulad sa tatay ni Toni, OLAT sa last eleksyon.",Negative,Hate,['1439342655641559043'],,,,
"@orjyyyyy ""takot ba sila sa mga new voters"" TANGA. Since before pandemic pa bukas ang registration AND they've been promoting it since. 'Wag isisi sa COMELEC ang katamaran niyo na ginagawa lang naman ay sumunod sa protocols. Kakapal ng mukha.",Negative,Hate,['1442408596222853125'],,,,
@gmanews inutil na senador papadama namin sa inyong mga dilawan ang galit namin sa eleksyon 2022 sa inidoro lahat ang bagsak nyo,Negative,Hate,['1443677740784394245'],,,,
"@pnagovph Kakaiba! Panahon ng eleksyon pero wala takot magsalita sa mga issues. May alam ka ba? Parang nakakasiguro ka na mananalo sa pagka senador. Bawal dayaan, huy.",Negative,Hate,['1437201362211594242'],,,,
"Parang joke yung election:

P: Lacson, Pacquiao, Isko
VP: Duterte, Sotto, Doc Willie Ong 😱

Walang mapili nakakaloka",Negative,Hate,['1440276580152975375'],,,,
@loidasandiego77 Lawmakers want budget hike for Leni daw. Sino kaya mga lawmakers yun kundi mga Makabayan bloc at Yellowebaks. Taasan daw budget para magamit for election campaign mga animel,Negative,Hate,['1436963948503322625'],,,,
Isko ba ang #TraPoe ngayong eleksyon?,Negative,Hate,['1440269720712712205'],,,,
"YES 1SKO o Young Entrepreneurs Supporting 1SKO, nanawagan na lumaban na si Manila Mayor Isko Moreno, bilang Presidente sa susunod na halalan. Ayon grupo si Moreno ay may mahusay na Track Record para patakbuhin ang bansa sa gitna ng pandemia @News5PH @onenewsph",Neutral,Non-hate,['1438691520991793155'],,,,
Isko election ka ticket chahiye. https://t.co/zXsR8Z6QNd,Neutral,Non-hate,['1441082717983051781'],,,,
Isa pa itong ungoy nato na sinasayan lang ang pera ng taongbayan. Sa tinagaltagal ng imbestigasyon na ginagawa nila wala parin silang nakikitang anomalya. Sa ngalan lang talaga ng eleksyon. https://t.co/WW5033wAB8,Negative,Hate,['1439364437534666755'],,,,
@pinoyanghang @bongbongmarcos Ayaw kc bigyan ng khit anong momentum ng mga dilawan at komunista si BBM kc nga KANGKONG yng mga pambato nila s eleksyon.,Negative,Hate,['1438713288490061825'],,,,
Aling paksyon nga kaya ng PDP-Laban ang kikilalanin ng Comelec? Ang grupong suportado ni Pangulong Duterte o ang pinamumunuan ni Sen. Manny Pacquiao na nagdeklara nang tatakbo sa pagkapangulo sa #Halalan2022? https://t.co/LHNVBIrmcL,Neutral,Non-hate,['1439918763554443277'],,,,
"Grabe yung anxiety galit ko nung gabi ng eleksyon nung 2016. Di ako nakatulog gat lamang si b/obongm.

Anlayo pa ng eleksyon nayayamot na agad ako. Tang ina nung mga nagsasabing ""gising na ang mga Pilipino"". Ang kakapal ng mukha para baguhin ang narrative.",Negative,Hate,['1440533059158228992'],,,,
@LakasNgTimog The way magsalita si isko mukhang sigurado sigurado na sya ang mananalo presidente he has plan already once na maupo sya sa malakanyang. Is it planado na din ba ang magiging dayaan sa 2022 election with the help of oligarch and npa????,Negative,Hate,['1441314573475221507'],,,,
"Bilis kilos! Tambalang Isko Moreno-Willie Ong, inanunsyo na ang kandidatura sa halalan 2022

Panoorin: https://t.co/R4SGMhkISJ https://t.co/VLVbypeiHm",Neutral,Non-hate,['1440935577096843268'],,,,
@jrdreyes @YearoftheMonSy Utusan mo pa ako na ikaw nga mismo nakapako jan sa kasinungalingan na gawa2x ng mga amo nyo. Pag manalo si BBM sa election nextyear٫ihanda nyo na timba para isahod sa mga luha nyo. 😜😜😜,Negative,Hate,['1438908458795814913'],,,,
"JUST IN: VP Leni Robredo, nais na muling makalaban si dating Sen. Bongbong Marcos sa halalan 2022, ngunit ito ay nakadepende sa magiging resulta ng unity talks sa oposisyon. | #DZXL558 https://t.co/Pi8YSJ4kxK",Neutral,Non-hate,['1438771131532468226'],,,,
Naniniwala si Manila Mayor Isko Moreno na dapat ay bukas ang mga opisyal ng gobyerno na ipakita sa publiko ang kanilang SALN. Wala rin aniya siyang nakikitang sakaling maging bise presidente niya si Pangulong Duterte kung pareho silang mananalo sa halalan. https://t.co/xQ6t0Q2DSC,Neutral,Non-hate,['1441477537088131074'],,,,
@DDSBBM BBM and DUTERTE Tandem on 2022 Election 100% Win si Pacquiao zero Vote sa DDS palang inidoro deretsu mo Ugok puppet nang mga LP Corrupt Politician dito kana babalik sa hirap BOBO Pacquiao👊👊👊✌️✌️✌️🇵🇭🇵🇭🇵🇭,Negative,Hate,['1439920714413273098'],,,,
@jhngbrlblmb Andito ng aantay sa election n evote si bbm.,Positive,Non-hate,['1440622793872195593'],,,,
Pwede bang mag independent si Leni!? Shet ang papangit ng choices ng Presidentiables next election. 😢,Negative,Hate,['1439545139806937088'],,,,
@teamrobredoph kaya pala hindi tumakbo si sara kasi tatakbo si bbm tapos vp ung ama. kung tatakbo si sara mahahati boto ni bbm or sara. tapos next election si sara naman ang tatakbo if my observation is correct. kaya dapat si Leni ang manalo para maputol ang maitim na plano ng mga sugapa.,Negative,Hate,['1439106312189591552'],,,,
"@MaamSyj Ndi na presidential election, star magic audition na ang nangyari. Pota! We're doomed pag Duterte or BBM ang mahalal.",Negative,Hate,['1440280796833599494'],,,,
@GisingPilipino @Jeymstejada95 @ogie_rosa of courses nag eenjoi kame. 5years n kayong umeefort mag oust duterte pero walang nangayre matatapos n lng ang term hahaha. . lage p kayo talunan sa eleksyon kaya happy kami sa pighati nyo. .iyak mga talunan,Negative,Hate,['1439560711739363335'],,,,
"@rapplerdotcom Regardless kung iinterviewhin ni Toni si BBM or not, nasa tao naman ang desisyon kung sino iboboto nila sa Election. So views na ba nakabase ang boto ngayon? Tatanga ng mga to. feeling entitled at woke amp.",Negative,Hate,['1438144109869371392'],,,,
"So sa paningin niyo pala may hidden agenda ‘yung interview kay BBM? Lol, ganito na ba kayo ka-desperate at takot na mawala na ang mga kulay dilaw sa gobyerno? INTERVIEW ‘YON HINDI ELECTION CAMPAIGN!! Iyak kaagad eh.",Negative,Hate,['1438143977077624838'],,,,
@acedapogi @COMELEC Recent lang nag register ako sa irehistro.. printed everything then bigla on site need daw to fill out the hard copy kasi un qr code is not working... parang WTH.. paurong talaga tayo.. 2021 na hand written pa din mga registration forms... dba dba,Negative,Hate,['1443138521426894854'],,,,
@arisjhon5 diring diri nga aq sa sarili ko b4 mgstart election bcos i think that they’re cool (pls i was so naive and bobo) POTAHHHHH AHHAJSHSJSJSS CHARACTER DEVT NAMAN DIN SANA IBA OH,Negative,Hate,['1440157617901346819'],,,,
thanks rold kasi isa lang talaga kukumbinsihin kong huwag iboto si pacquiao as president sa 2022 election 👹,Negative,Hate,['1439587441006940164'],,,,
"@GaudiQuiballo Kung pinal na po ito at hindi matuloy ang consensus-building, talagang uphill battle for Leni kung tuloy din yung tatakbo sya. Malaking hamon kay Leni paano i-seize ang center of gravity ng election with a compelling agenda and coherent political straregy.",Negative,Hate,['1439527278942117891'],,,,
"mabuhay ang mga troll!!! 👏

special mention lagi ang trolls. they will play a big role in the 2022 election campaign. doubtless.

kaya nga parang mga trolls na rin ang mga reporter ni @rapplerdotcom &amp; @ABSCBNNews.

pati ito @richeydarian parang certified troll ni vp leni. 🤣 https://t.co/zEKu9VyvOj",Negative,Hate,['1440519930839928836'],,,,
Tawang tawa ko dun sa election officer HAHAHAHAHA “wag na wag mo iboboto si Duterte ah” HAHAHAHAHAAHAHAHAHA,Positive,Non-hate,['1438721625805910017'],,,,
"Robredo camp mum on Eleksyon 2022 plans even after Isko, Pacquiao bared presidential bids https://t.co/43uVoozdRP",Neutral,Non-hate,['1440637742191284233'],,,,
"@kalakumag Hayahay lang sa white sand Island habang pandemya, now bigla labas mag eleksyon at makaka help daw sya.£$¢€¥🐊",Negative,Hate,['1443763894841978882'],,,,
VP Leni Robredo umaasang magkakaisa ang mga anti-admin candidates sa election 2022. https://t.co/bUEu8x2mhC,Neutral,Non-hate,['1441187635146330116'],,,,
"Sen. Manny Pacquiao, kumpirmado nang tatakbo sa pagkapangulo sa halalan sa susunod na taon https://t.co/5N2TU22WEj https://t.co/bSrTKFFDLk",Neutral,Non-hate,['1439738713257299970'],,,,
"@k_aletha I have a feeling Leni is still banking on Smartmatic. Wag tayo pakampante, marami pa rin dilawan dyan sa COMELEC.",Negative,Hate,['1438868309198262281'],,,,
@joshravan @MisterSinBad Pray Harder lang kayo ha! Baka kasi hindi na magsuccess pandaraya ni Leni sa 2022 pinatalsik na sj Andi Bautista sa Comelec 😂🤣,Negative,Hate,['1437385605864853515'],,,,
"Si Isko Moreno ang Grace Poe version ngayon 2022 Presidential election. Puta sana matuto na ang mga pilipino sa hirap na dinanas under duterte administration. 

#DapatSiLeni #Halalan2022",Negative,Hate,['1440336694591430659'],,,,
"Dear COMELEC,

If in case na hindi tatakbo si VP @lenirobredo sa 2022, tapos mga katulad lang din naman nina Pacquiao, Bong Go, Marcos, at Quiboloy ang tatakbo, pwede bang maglaan po kayo ng ishe-shade na bilog para sa NOTA. 

Opo, NOTA na lang iboboto ko. NONE OF THE ABOVE.",Negative,Hate,['1441382385946271750'],,,,
"do y'all know how much shortcoming Pacquiao has as a senator of this country?? tapos napaka lakas ng loob niya to run for a President position?! pag siya pa ang nanalo sa election putangina idk anymore, i might as well leave to mars, ang sahol ng kabobohan ng mga boboto diyan",Negative,Hate,['1439565580919459848'],,,,
"@PhilippineStar @PaoloSRomero Sunod, baka ipa extend ng senado ang filing ng kandidatura sa comelec, nalilito pa kasi si Aling Leni nila at hindi pa handa mag file sa deadline na oct 8.🤨🤨",Negative,Hate,['1440931116089700354'],,,,
"@cnnphilippines @laratyan Ang saya ng election sa Pinas 🙃.
Tapos may Bong Go at Sara pa.
Tiba-tiba LGU officials nyan.",Negative,Hate,['1441255237482803212'],,,,
Sabi ni Mayor Sarah di na daw sya tatakbo sa national election pero uung kabila dipa rin maitago ang takot e 😂 @dawende 😬😬 https://t.co/rGobrTjOMU,Negative,Hate,['1435885544207093763'],,,,
"May FB friend akong pinu-push pa rin ng real VP si BBM. 

SISWANG, TUMIGIL KA NA. ELEKSYON NA NEXT YEAR!!!! TRY AGAIN NA LANG.",Negative,Hate,['1441201600840683521'],,,,
@NoliEala uhmm parating ECQ or MECQ so sarado usually Comelec? at takot mga tao na mahawaan sa pila? I get po your point pero kailangan natin tingnan sa lahat ng perspektibo kung bakit ganito ang nangyayari. Natimingan niyo lang siguro na walang pila pero parating mahaba ang pila noon pa.,Neutral,Non-hate,['1441260975684915214'],,,,
