text,sentiment,label
dahil diyan mag-register para paparating eleksyon hindi makaupo palasyo mga tulad,Negative,Hate
paulit-ulit nating post kasama mga electionists senador fake vp pormal election campaign,Negative,Hate
mga dds siyang mananaig this coming national election...ang erection boletas,Negative,Hate
practice munang vp bigay tong eleksyon nakapagpractice pagtake charge presidency,Negative,Hate
inatasan commission elections kampo senator pdp-laban magkumento petisyon paksyon energy secretary alfonso cusi,Neutral,Non-hate
gigil talaga election,Negative,Hate
ayaw maging involve kn ganyan dahil nung sinuportahan noong last election grabeng threats natanggap kabilang partido pati family nadamay that's why,Negative,Hate
comelec hindi niyo alam kung gaano kalaki dinagdag niyo galit mundo,Negative,Hate
after election makaka tawa tapos mahihirap jebs dahil anxiety,Negative,Hate
alam dito kami galit sayo kaya mga motorcycle riders buong election reresbak dick penguin gordon anumang posisyong takbuhan niya zero vote for gordon,Negative,Hate
sana yun galit natin eh mag-reflect darating election,Negative,Hate
boss election time baka hindi registered vp needs boost including media mileage pagawa tarp lead,Positive,Non-hate
napagod kami pumila comelec iboboto niyo,Negative,Hate
ano'ng sey n'yo sey pa-masa epek para election pagpapakita pagkain naka-kamay dahil ginawa erap noon,Negative,Hate
masaya tingnan natin election dds,Positive,Non-hate
galit galit bastos baklush dhil naglockdown nmn eh obligadong magbigay ayuda gobyerno digonggong ayaw mbawasan sako sako nilang pera pra election kapal,Negative,Hate
nag confirm facebook tatakbo daw syang presidente next election tapos tingin mga reactions putanginaaa likes hearts marami haha reacts hoyyyy pilipinass,Negative,Hate
hoi tabi niyo school council inyo ginapadalaganan ahahahha dpota kita tweet naghmbl smart kno ky running mate subscriber kag followers dpota peymus nlg aton eleksyon gapakita kung botante hahaha pota,Negative,Hate
hindi i-impeached congress pabor kaya kanila tsaka takot poon yung public service self service bale eleksyon next year sino listahan mga taga-sunod,Negative,Hate
matic panalong president this election,Positive,Non-hate
prangkahan alam nandaya nung election ngayong hindi hawak comelec alam alanganin taena kung alam naman votes nakuha noon bakit mangangamba baka hindi iboto,Negative,Hate
gigil nku para election nakakapagod sitwasyon ngayon..lahat balik face face school pero jusko nastock-up faceshield,Negative,Hate
first time kong boboto darating eleksyon vp deserving boto pagkapangulo bawat pls talaga nakakakaba yung mga choices for presidency walang future,Negative,Hate
magandang araw mga registered voter araw natitira huling araw pagpaparehistro huwag palampasin pagkakataong makiisa pagbabago kung hindi nakakapagparehistro pumunta lamang link,Positive,Non-hate
tawang tawa pinsan naghahanap kakampi hahahaha anw register vote but doesn't stop registration keep educating ourselves around halalan vote wisely ipanalo natin,Positive,Non-hate
wow galawang election kunyari tatakbo umay,Negative,Hate
kapag shits nadala hanggang eleksyon isisisi lahat toni mga shits mangyayari bansa,Negative,Hate
sana skm election kung f2f para bardagulan,Positive,Non-hate
kasi mga takot lumabas lalo kasi malapit election,Negative,Hate
tandaan kung ayaw niyo administrasyon iboto hindi naman tunay opposition dati opposition naging opposition dahil election magkaiba yun vp,Negative,Hate
malapit pasahan coc kampanyahan pagkatapos election paano masisiguro mamamayang hindi vote wisely kapamilya remember stand pagdating dolomite panahon pandemya,Negative,Hate
talaga nakakagulat yung takbo presidential election plano niya since kinumpanya school admin namin samin,Negative,Hate
matagal nabg nagtatrabaho vp eleksyon hindi meron konduktor roque yun sagutin,Negative,Hate
pwede magpalamon lupa we're having election hindi talaga nakikioperate nagtitiktok nakita akong sunghoon ready magrant friend eh gc namin sir sana hindi kayo,Negative,Hate
nagmamalinis pero cheater naman election,Negative,Hate
trillanes original astig yung dyan nag-tapang-tapangan ngayong malapit eleksyon vp leni's strategic organizational skills plus trillanes guts against strongmen perfect,Positive,Non-hate
jhay susunod election,Positive,Non-hate
wala ngang naitulong nanggugulo nung nag start pandemic puro kayo ngawngaw porket eleksyon bigla kayong naging bibo kasabwat mga basurang media kung tatakbo kang vp ituloy masasayang pera promise,Negative,Hate
vote pala yung kulang para tie breaker dalhin galit pagiging incompetent mga tuta niya halalan,Positive,Non-hate
pucha wala naman silbi kwak kwak doctor nitong pandemic tapos bigla syang lilitaw election,Negative,Hate
kasi madaming nagpa rehistro para bumoto susunod eleksyon kasi bilang isang magisip magising sana tayong magbulag-bulagan iboto natin nararapat,Positive,Non-hate
pagkakataon sana mga minamalas naging parti giraffe kuri sana kampo mga tulings kung lumabas pix kasama family mrs with pogi points sana,Negative,Hate
running for president seriously ginagawa niyo namang comedy tong halalan eh,Negative,Hate
pananaw mga taong iboboto ngayong election laking impact pagpasok running president kasi mahahati talaga taong,Neutral,Non-hate
just senate president tempore ralph recto batangas rep vilma santos-recto iiindorso pagka-pangulo halalan demkratiko,Neutral,Non-hate
gumagawa scenario kaguluhan eleksyon kumh meron kakayahan manggulo kampo digs lalo yun mga alagad kapit tuko pwesto takot mga kasong kakaharapin ninyo wala kayo posisyon,Negative,Hate
tuwang tuwa mga dilawan anti govt lalo mga kangkong mga senador tatakbo next election pati lugaw queen.aba nag salita madam sarah tatakbo national election.nabunutan tinik pero aint over till its over.wait see,Negative,Hate
wala tayong matinong kakandidato darating eleksyon bukod chel diokno kasi yung matitino eh,Negative,Hate
asks comelec disclose location open comelec data centers for inspection malalim hugot namin dito doon nagkakaroon misteryo pag-unawa tao brother lost his electoral protest vs vp,Neutral,Non-hate
pano kayo mananalo kayong mga dilawan tingnan election dun magkakaalaman kung sinasabi nyong rob-redo makakaahon,Negative,Hate
try survey with your own.din wait result election.katapat esko pakyaw atbp.walang kalaban laban.yong hindi nagkagusto digong.yong nasagasaan.may kapatid nakulong napatay druga.kasi druga malakas patok ngayon.plastik cguro ninyo,Negative,Hate
nakakapikon jey daming kapalpakan gobyernong years puro palpak tapos nanakawan lahat galit ilalabas next election punyeta,Negative,Hate
puro enabler current admin pumalag kasi tatakbo palang presidente doon umpisa pumupuri kung good job govt nagcriticize ginagawa.leni pagkapangulo,Positive,Non-hate
botohan halalan mga mga magulang sara mulat,Neutral,Non-hate
pakiramdam marami percentage mga pilipinong uneducated hindi aware background mga kakandidato next election asdfsjskslj nakaka takot baka kung sino yung matunog pangalan pero walang silbi magkaroon pwesto senado t__t,Negative,Hate
isang libo't isang tuwa buong bansa magparehistro,Neutral,Non-hate
hahahhahaha kahit ulitin election maniniwala nalang ulit parin months kaysa alam kaya naman sana kung lahat pati madumb mamaleni tumutulong tutulong pero gusto legalize droga matindi dba babaw lol add jetski,Negative,Hate
"what matalo ulit nx year election,another election protest kaya ulit gagawin nya",Negative,Hate
baka naman maawa naman kayo baka kapag nakaboto,Negative,Hate
please comelec daming nakakaabot cutoff nasasakripisyo naming mga bakunado kasi pwede parang jusko ako'y gigil,Negative,Hate
bobotalaga mga tao nung pinipilit tumakbo para pagkapresidente ngayong tatakbo election bigla niyong iiwan papanigan yung mga burikat corrupt magkano bayad sainyo chicheap naman kaya namang kitain,Negative,Hate
here's another thinking hindi pinanganak sokor magparehistro time visiting site kung magpabalik applications parang walang covid prepared everything advance carefully but iyak cheer halalan,Negative,Hate
tinalo election tinalo recount tinalo supreme court tatalunin ulit,Positive,Non-hate
breaking nominado standard bearer pdp-laban election,Neutral,Non-hate
had argument last night with apologist dds father nagwalkout nagsiring himuon kun eleksyon mag-isip for future diri anchor past para pumili kandidato,Positive,Non-hate
nung candidates for president kala parang classroom election hahaha,Negative,Hate
mga enabler tapos ngayong malapit eleksyon astang-galit rehimeng ibalik raw kaayusan lol talaga nagagawa malapit halalan christian-centered bigla,Negative,Hate
vp already knows strategy cheat kya confident fight against again next election manual botohan pra magkaalaman youtube nilamon vp eh,Negative,Hate
madam sayang naman yung effort namin pumila comelec tapos tatakbo,Negative,Hate
caps ebidensya nandaya siya?naka talo nya against election magsama kayo mga talunan,Negative,Hate
makabangon husto dahil ginawa tatay wala nagawang significant congressman senator ramdam nung nag start pandemic bigla susulpot kapag eleksyon,Negative,Hate
mga enabler administrasyon biglang galit kayo lolo digs ulul mama niyo kayo nung daming naghihirap dahil kagaguhan niyang rodrigo wala kasi nandiyan kayo ngayong eleksyon hinding-hindi kayo mananalo,Negative,Hate
hopefully press release talaag since election politicians meant break promises lol wala akong ibang option kundi wala,Negative,Hate
nagkasungay bigla nung malapit eleksyon,Negative,Hate
basura panguhanan wala election triggered kana vp tsk,Negative,Hate
kung rcv election choice then vice-versa,Neutral,Non-hate
pagnaknock-out election paputol tete babalik pagboboksing babawiin natalo niyang pera election pagsisinungaling salita bigla binago statement nya lgbt hahaha,Negative,Hate
akin report naman bakit ayaw silang magfucos doon bakit senate hearing millions ginastos every hearing dahil malapit election ginagawa nilang advertisement political demolition mga stupido talaga mga senatong,Negative,Hate
what's wrong with victory plurality demokrasya salamat minadaling konstitusyon nung panahon cory tsaka dineklara comelec not cory bakit takot kayong sabihin power grabbing nangyari,Negative,Hate
hustisya nman mga ngpila nman bigla cut-off paano araw nmin nagpila cut-off naman location cdo,Negative,Hate
ugok ginawa mahigit taon ngaun nagising hinayaan sinuportahan mga kapalpakan admin eleksyon bigla nagising trapo,Negative,Hate
mababalatan mga pagdating election debate magiging katawa tawa tao naging version change scamming,Negative,Hate
kaya pala pala grace poe phase ngayong election magpapagamit halagang blank check,Negative,Hate
this coming election first time wala akong iboboto presidente pwede kung bibigyan niya million maski galit bakla hahaha,Negative,Hate
napahagalpak tawa fb users pahayag pagtanggap delima nomination bilang senatorial candidate election,Negative,Hate
tatakbong pangulo halalan piniling vp,Neutral,Non-hate
india nhi srf takle(dimag election jeetne baad india import kiya jayga with kisi batana nhi,Neutral,Non-hate
buset election puro tawa hahahahahahahahaha,Positive,Non-hate
pacquiao-pimentel group inireklamo comelec tinawag mga peke via,Negative,Hate
sana ihalintulad election para kung sino matira mga tatabong president senators uupo para mamuno bansa hahaha siguro patay kung patay charr,Positive,Non-hate
karapatan daw bumoto pero bakit pahirapan rehistro takot kayo mga botante comelec nangigigil talaga,Negative,Hate
kung gusto next election iyabang mga program kanyang opisina gaya ginagawa check now sunod lalabas pwede kayo dito pakonsulta libre vp sabay send link hahahahahahaha,Positive,Non-hate
ananymous kaya source pandaraya nakararaan election,Negative,Hate
tuwang tuwa galak mga dilawan mga komunista tuwing umaalagwa surge)ang mga nagkakasakit covid kung umabot isang araw dahil mga pasaway martial law gov itatapat dyan election,Negative,Hate
confirms meeting with ahead eleksyon filing candidacy via,Neutral,Non-hate
